network,network1,accuracy,kappa,memory,parameters,time,rate(max),scatter,colors,rate(lne),model
AlexNet,0,71.2,,,,,,,#660033,,
BOVW+VGG,0,75.42,,0,0,0,,,#993366,,
Xception,Xception,68.51,0.6196,250.7,20875247,11,max,12000,#663366,16.85,fer2013_Xception_0930.105-0.6701.hdf5
Mobile,Mobile,67.76,0.6107,39,3235463,4,6.45,1860,#996699,14.99,fer2013_MobileNet_0930.97-0.6631.hdf5
Shuffle,Shuffle,65.67,0.5858,12.4,973135,5,21.45,556,#CC99CC,13.79,fer2013_ ShuffleNet_train2_0930.163-0.6484.hdf5
MobileV2,MobileV2,67.65,0.6091,27.9,2284615,7,9.14,1312,#CCCCFF,14.64,fer2013_MobileNetv2_0930.170-0.6695.hdf5
ShuffleV2,ShuffleV2,67.18,0.6035,49.2,4025483,7,5.19,2312,#99CCFF,15.21,fer2013_version5_ShuffleNetV2.108-0.6592.hdf5
MobileV2(96),MobileV2(96),69.24,0.6286,27.9,2284615,6,9.14,1312,#99CCCC,14.64,fer2013_MobileNetv2_96x96.133-0.6879.hdf5
"MobileV2(96,C)","MobileV2(96,C)",70.13,0.6392,80.3,6671671,9,3.13,3940,#99CC99,15.71,fer2013_Concate_MobileNetv2_96x96_1001.82-0.6851.hdf5
Mini_xception,Mini_xception,66.48,0.5946,0.898,58423,3,357.31,33.6,#FFCC33,10.98,fer2013_mini_XCEPTION_1011.156-0.6548.hdf5
"Mini_xception(64,C)","Mini_xception(64,C)",66.82,0.599,1.3,88999,3,234.56,51.28,#FF9966,11.4,fer2013_version5_mini_XCEPTION_64x64_concat.138-0.6553.hdf5
Concat_Xception,Concat_Xception,70.13,0.6388,3.9,290399,6,71.88,166.92,#FFFF00,12.58,fer2013_mini_concate_V4_XCEPTION_1007.152-0.6807.hdf5
Concat_Mobile,Concat_Mobile,69.57,0.6322,3.9,264679,8,78.87,152,#FF6666,12.49,fer2013_ Concate_Mobile_0930.127-0.6695.hdf5
